sitio,ponto,data,especie,individuo,abund_50,abund_L,altura,comp_raiz,comp_folha,larg_folha,comp_peciolo,larg_caule,grau_herbivoria
Guaraguacu,M8,abr./16,Pistia_stratiotes,3,2,5,4.5,56.5,7.5,6.5,3,0.4,4
Guaraguacu,M8,abr./16,Urochloa_arrecta,1,3,5,73,18.2,10.8,1.9,NA,0.35,1
Guaraguacu,M8,abr./16,Urochloa_arrecta,2,3,5,85,13.1,11.4,2,NA,0.35,0
Guaraguacu,M8,abr./16,Urochloa_arrecta,3,3,5,90,11,11.7,2.1,NA,0.35,1
Guaraguacu,M9,abr./16,Crinum_americanum,1,1,4,93,NA,110,4,NA,NA,1
Guaraguacu,M9,abr./16,Crinum_americanum,2,1,3,87,NA,107,5.4,NA,NA,1
Guaraguacu,M9,abr./16,Crinum_americanum,3,1,2,37,84.5,3,NA,NA,NA,0
Guaraguacu,M9,abr./16,Cyperus_giganteus,1,3,4,121.5,NA,181.7,2.8,NA,NA,1
Guaraguacu,M9,abr./16,Cyperus_giganteus,2,3,5,201,NA,240,1.6,NA,NA,1
Guaraguacu,M9,abr./16,Cyperus_giganteus,3,3,4,171,NA,192,1.7,NA,NA,0
Guaraguacu,M9,abr./16,Eichhornia_crassipes,1,1,3,9.5,23.5,5.4,7.6,9.7,0.8,1
Guaraguacu,M9,abr./16,Eichhornia_crassipes,2,1,5,21.5,18,8.1,10.6,19.5,0.8,3
Guaraguacu,M9,abr./16,Eichhornia_crassipes,3,1,3,15,19.5,8.6,11.7,13,0.95,1
Guaraguacu,M9,abr./16,Pistia_stratiotes,1,1,2,9,21,12.7,7,3.5,0.4,4
Guaraguacu,M9,abr./16,Pistia_stratiotes,2,1,5,13,28.5,14.9,15.4,37.5,1.5,2
Guaraguacu,M9,abr./16,Pistia_stratiotes,3,1,1,5.5,11,5.5,4.6,0.9,NA,2
Guaraguacu,M9,abr./16,Urochloa_arrecta,1,4,5,52.5,7.3,11.5,1.85,0,0.45,1
Guaraguacu,M9,abr./16,Urochloa_arrecta,2,4,5,75,8.6,10.5,2.1,0,0.45,1
Guaraguacu,M9,abr./16,Urochloa_arrecta,3,4,5,35,9.4,12.4,1.8,0,0.4,0
Guaraguacu,PM02,abr./16,Hydrocotyle_leucocephala,1,1,3,4,23,4,4.5,1.6,3.5,0
Guaraguacu,PM02,abr./16,Hydrocotyle_leucocephala,2,1,3,8,11.5,5.5,6.5,1.1,4,1
Guaraguacu,PM02,abr./16,Hydrocotyle_leucocephala,3,1,2,4.8,4.5,5.2,6,0.85,4.5,0
Guaraguacu,PM02,abr./16,Panicum_sp,1,1,2,101,21,48,2.4,0,1.95,1
Guaraguacu,PM02,abr./16,Panicum_sp,2,1,2,72,14.2,53,2.5,0,9,0
Guaraguacu,PM02,abr./16,Panicum_sp,3,1,2,95,24.5,51.5,2.6,0,0.9,1
Guaraguacu,PM02,abr./16,Pistia_stratiotes,1,1,1,6,19,7.5,4.4,0.4,3.34,1
Guaraguacu,PM02,abr./16,Pistia_stratiotes,2,1,2,3,15,4.2,4,0.1,1.8,2
Guaraguacu,PM02,abr./16,Salvinia_biloba,1,1,3,0.3,0.35,1.9,1.8,0.35,1,3
Guaraguacu,PM02,abr./16,Urochloa_arrecta,1,5,5,87,17.4,12.7,2.3,0,1.8,0
Guaraguacu,PM02,abr./16,Urochloa_arrecta,2,5,5,36,13,4.3,0.9,0,02.01,0
Guaraguacu,PM02,abr./16,Urochloa_arrecta,3,5,5,59,11.5,9.1,2,0,0.45,1
